timepoint_id,sample_id,beta_param,gamma_param,I_sol,R_sol,S_sol,timepoint_days
0,0,0.026055196300148964,0.13063567876815796,968.4406127929688,30.079736709594727,2.48028302192688,0.5
1,0,0.026055196300148964,0.13063567876815796,909.5409545898438,91.45921325683594,1.1962732969550416e-05,1.0
2,0,2.0,0.3,721.0341186523438,279.96588134765625,5.241105327513651e-10,2.0
3,0,2.0,0.1,639.4989624023438,361.50091552734375,-3.1725733151688473e-11,3.0
4,0,2.0,0.1,578.6427612304688,422.3572692871094,2.8596422452231707e-10,4.0
0,1,0.02675313502550125,0.10002434998750687,975.4644165039062,23.830196380615234,1.7056995630264282,0.5
1,1,0.02675313502550125,0.10002434998750687,929.5074462890625,71.49238586425781,4.960315436619567e-06,1.0
2,1,2.0,0.3,745.9402465820312,255.05889892578125,-4.241267059779119e-10,2.0
3,1,2.0,0.1,661.5880737304688,339.41033935546875,-1.756137457675777e-10,3.0
4,1,2.0,0.1,598.6296997070312,402.3687744140625,7.862930861968209e-10,4.0
0,2,0.027821743860840797,0.1647777110338211,959.4937133789062,40.419212341308594,1.08677077293396,0.5
1,2,0.027821743860840797,0.1647777110338211,884.6183471679688,116.3816909790039,2.9241318770800717e-06,1.0
2,2,2.0,0.3,691.7644653320312,309.23516845703125,-1.9021051400613942e-10,2.0
3,2,2.0,0.1,613.5399780273438,387.4603271484375,-9.147086976746266e-10,3.0
4,2,2.0,0.1,555.1550903320312,445.8465576171875,-6.913278838283077e-10,4.0
