timepoint_id,number_days,inc_cum,output,type,quantile,value,Forecast_Backcast
0,0.0,inc,Infected,quantile,0.01,1.0,Backcast
0,0.0,inc,Infected,quantile,0.025,1.0,Backcast
0,0.0,inc,Infected,quantile,0.05,1.0,Backcast
0,0.0,inc,Infected,quantile,0.1,1.0,Backcast
0,0.0,inc,Infected,quantile,0.15,1.0,Backcast
0,0.0,inc,Infected,quantile,0.2,1.0,Backcast
0,0.0,inc,Infected,quantile,0.25,1.0,Backcast
0,0.0,inc,Infected,quantile,0.3,1.0,Backcast
0,0.0,inc,Infected,quantile,0.35,1.0,Backcast
0,0.0,inc,Infected,quantile,0.4,1.0,Backcast
0,0.0,inc,Infected,quantile,0.45,1.0,Backcast
0,0.0,inc,Infected,quantile,0.5,1.0,Backcast
0,0.0,inc,Infected,quantile,0.55,1.0,Backcast
0,0.0,inc,Infected,quantile,0.6,1.0,Backcast
0,0.0,inc,Infected,quantile,0.65,1.0,Backcast
0,0.0,inc,Infected,quantile,0.7,1.0,Backcast
0,0.0,inc,Infected,quantile,0.75,1.0,Backcast
0,0.0,inc,Infected,quantile,0.8,1.0,Backcast
0,0.0,inc,Infected,quantile,0.85,1.0,Backcast
0,0.0,inc,Infected,quantile,0.9,1.0,Backcast
0,0.0,inc,Infected,quantile,0.95,1.0,Backcast
0,0.0,inc,Infected,quantile,0.975,1.0,Backcast
0,0.0,inc,Infected,quantile,0.99,1.0,Backcast
1,1.0,inc,Infected,quantile,0.01,1.149319041967392,Backcast
1,1.0,inc,Infected,quantile,0.025,1.1498136252164841,Backcast
1,1.0,inc,Infected,quantile,0.05,1.1506379306316377,Backcast
1,1.0,inc,Infected,quantile,0.1,1.1522865414619445,Backcast
1,1.0,inc,Infected,quantile,0.15,1.1539351522922516,Backcast
1,1.0,inc,Infected,quantile,0.2,1.1555837631225585,Backcast
1,1.0,inc,Infected,quantile,0.25,1.1572323739528656,Backcast
1,1.0,inc,Infected,quantile,0.3,1.1588809847831727,Backcast
1,1.0,inc,Infected,quantile,0.35,1.1605295956134796,Backcast
1,1.0,inc,Infected,quantile,0.4,1.1621782064437867,Backcast
1,1.0,inc,Infected,quantile,0.45,1.1638268172740935,Backcast
1,1.0,inc,Infected,quantile,0.5,1.1654754281044006,Backcast
1,1.0,inc,Infected,quantile,0.55,1.1671240389347077,Backcast
1,1.0,inc,Infected,quantile,0.6,1.1687726497650146,Backcast
1,1.0,inc,Infected,quantile,0.65,1.1704212605953217,Backcast
1,1.0,inc,Infected,quantile,0.7,1.1720698714256286,Backcast
1,1.0,inc,Infected,quantile,0.75,1.1737184822559357,Backcast
